,randomness,layer_name,execution_time,test_acc,test_acc_epoch,test_loss,test_loss_epoch
0,0.0,-,32.275912,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
3,1e-07,sequential.2,42.725136,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
5,2e-07,sequential.2,38.96326,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
7,3e-07,sequential.2,46.76445,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
9,4e-07,sequential.2,53.183946,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
11,5e-07,sequential.2,47.113848,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
13,6e-07,sequential.2,47.124401,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
15,7e-07,sequential.2,47.395705,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
17,8e-07,sequential.2,46.756859,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
19,9e-07,sequential.2,50.357597,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
21,1e-06,sequential.2,46.687825,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
23,2e-06,sequential.2,47.701994,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
25,3e-06,sequential.2,47.110372,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
27,4e-06,sequential.2,48.559313,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
29,5e-06,sequential.2,47.669431,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
31,6e-06,sequential.2,52.088458,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
33,7e-06,sequential.2,47.194758,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
35,8e-06,sequential.2,49.431548,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
37,9e-06,sequential.2,52.310324,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
39,1e-05,sequential.2,54.957193,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
41,2e-05,sequential.2,55.241231,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
43,3.0000000000000004e-05,sequential.2,50.504272,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
45,4e-05,sequential.2,57.775777,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
47,5e-05,sequential.2,51.78322,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
49,6.000000000000001e-05,sequential.2,47.585033,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
51,7.000000000000001e-05,sequential.2,47.813243,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
53,8e-05,sequential.2,52.567799,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
55,9e-05,sequential.2,50.438736,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
57,0.0001,sequential.2,51.964066,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
59,0.0002,sequential.2,48.272688,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
61,0.0003,sequential.2,51.949363,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
63,0.0004,sequential.2,46.256788,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
65,0.0005,sequential.2,51.743741,0.5833333134651184,0.5833333134651184,1.3770188093185425,1.3770188093185425
67,0.0006,sequential.2,52.106365,0.5833333134651184,0.5833333134651184,1.3650931119918823,1.3650931119918823
69,0.0007,sequential.2,54.410465,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
71,0.0008,sequential.2,50.152881,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
74,0.0009,sequential.6,51.853352,0.5833333134651184,0.5833333134651184,1.3649044036865234,1.3649044036865234
75,0.001,sequential.2,53.330836,0.5833333134651184,0.5833333134651184,1.3649086952209473,1.3649086952209473
78,0.002,sequential.6,55.233197,0.5833333134651184,0.5833333134651184,1.3649044036865234,1.3649044036865234
80,0.003,sequential.6,53.355934,0.5833333134651184,0.5833333134651184,1.3649044036865234,1.3649044036865234
81,0.004,sequential.2,54.901307,0.564393937587738,0.564393937587738,1.448215126991272,1.448215126991272
83,0.005,sequential.2,51.992423,0.5833333134651184,0.5833333134651184,1.3650999069213867,1.3650999069213867
85,0.006,sequential.2,52.998148,0.5833333134651184,0.5833333134651184,1.3654611110687256,1.3654611110687256
87,0.007,sequential.2,49.765155,0.2651515007019043,0.2651515007019043,3.8819265365600586,3.8819265365600586
90,0.008,sequential.6,52.490417,0.5833333134651184,0.5833333134651184,1.3645751476287842,1.3645751476287842
92,0.009,sequential.6,47.383372,0.5037878751754761,0.5037878751754761,1.4378331899642944,1.4378331899642944
93,0.01,sequential.2,52.428546,0.5833333134651184,0.5833333134651184,1.364877223968506,1.364877223968506
95,0.02,sequential.2,52.097741,0.5833333134651184,0.5833333134651184,1.3649877309799194,1.3649877309799194
98,0.03,sequential.6,48.854932,0.0909090936183929,0.0909090936183929,24.2598876953125,24.2598876953125
100,0.04,sequential.6,50.146672,0.5416666865348816,0.5416666865348816,1.4359838962554932,1.4359838962554932
101,0.05,sequential.2,49.388062,0.219696968793869,0.219696968793869,3.40844202041626,3.40844202041626
