randomness,layer_name,execution_time,test_acc,test_acc_epoch,test_loss,test_loss_epoch
0,-,36.33293,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
0,sequential.2,144.87926,0.5265151262283325,0.5265151262283325,1.723266839981079,1.723266839981079
0,sequential.6,92.647789,0.5833333134651184,0.5833333134651184,1.3648091554641724,1.3648091554641724
1e-07,sequential.2,110.707073,0.5833333134651184,0.5833333134651184,1.3650449514389038,1.3650449514389038
1e-07,sequential.6,87.061235,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
2e-07,sequential.2,116.926041,0.5757575631141663,0.5757575631141663,1.4053188562393188,1.4053188562393188
2e-07,sequential.6,99.613237,0.5833333134651184,0.5833333134651184,1.366134762763977,1.366134762763977
3e-07,sequential.2,182.209402,0.5833333134651184,0.5833333134651184,1.3647607564926147,1.3647607564926147
3e-07,sequential.6,100.331516,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
4e-07,sequential.2,106.563331,0.5568181872367859,0.5568181872367859,1.4708216190338135,1.4708216190338135
4e-07,sequential.6,112.277654,0.4583333432674408,0.4583333432674408,20.063140869140625,20.063140869140625
5e-07,sequential.2,195.079973,0.5833333134651184,0.5833333134651184,1.3649218082427979,1.3649218082427979
5e-07,sequential.6,97.230552,0.5833333134651184,0.5833333134651184,1.3648996353149414,1.3648996353149414
6e-07,sequential.2,134.187382,0.5492424368858337,0.5492424368858337,1.4956496953964233,1.4956496953964233
6e-07,sequential.6,89.93069,0.5833333134651184,0.5833333134651184,1.3647561073303223,1.3647561073303223
7e-07,sequential.2,112.545475,0.5871211886405945,0.5871211886405945,1.3796138763427734,1.3796138763427734
7e-07,sequential.6,97.234663,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
8e-07,sequential.2,97.181863,0.5833333134651184,0.5833333134651184,1.3646628856658936,1.3646628856658936
8e-07,sequential.6,94.398516,0.5833333134651184,0.5833333134651184,1.3658020496368408,1.3658020496368408
9e-07,sequential.2,180.351141,0.5833333134651184,0.5833333134651184,1.3649218082427979,1.3649218082427979
9e-07,sequential.6,99.36853,0.5833333134651184,0.5833333134651184,1.3648608922958374,1.3648608922958374
1e-06,sequential.2,133.720978,0.5833333134651184,0.5833333134651184,1.3653759956359863,1.3653759956359863
1e-06,sequential.6,97.097115,0.5833333134651184,0.5833333134651184,1.365405797958374,1.365405797958374
2e-06,sequential.2,161.131975,0.5265151262283325,0.5265151262283325,1.6916370391845703,1.6916370391845703
2e-06,sequential.6,125.037088,0.5833333134651184,0.5833333134651184,1.3648983240127563,1.3648983240127563
3e-06,sequential.2,192.104203,0.5037878751754761,0.5037878751754761,1.7887685298919678,1.7887685298919678
3e-06,sequential.6,95.493552,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
4e-06,sequential.2,165.629999,0.5833333134651184,0.5833333134651184,1.3649218082427979,1.3649218082427979
4e-06,sequential.6,109.448204,0.5833333134651184,0.5833333134651184,1.3648524284362793,1.3648524284362793
4.9999999999999996e-06,sequential.2,126.558139,0.5833333134651184,0.5833333134651184,1.3641527891159058,1.3641527891159058
4.9999999999999996e-06,sequential.6,109.225924,0.5416666865348816,0.5416666865348816,1.8130624294281006,1.8130624294281006
6e-06,sequential.2,108.655167,0.5833333134651184,0.5833333134651184,1.3657208681106567,1.3657208681106567
6e-06,sequential.6,95.010176,0.5833333134651184,0.5833333134651184,1.3651502132415771,1.3651502132415771
7e-06,sequential.2,164.898245,0.5833333134651184,0.5833333134651184,1.3649101257324219,1.3649101257324219
7e-06,sequential.6,89.66998,0.5833333134651184,0.5833333134651184,1.364894986152649,1.364894986152649
8e-06,sequential.2,178.541206,0.5530303120613098,0.5530303120613098,1.56882905960083,1.56882905960083
8e-06,sequential.6,114.788606,0.5833333134651184,0.5833333134651184,1.3674650192260742,1.3674650192260742
9e-06,sequential.2,134.468391,0.5833333134651184,0.5833333134651184,1.3654006719589233,1.3654006719589233
9e-06,sequential.6,102.780218,0.5833333134651184,0.5833333134651184,1.3647783994674683,1.3647783994674683
1e-05,sequential.2,98.521929,0.5568181872367859,0.5568181872367859,1.4746686220169067,1.4746686220169067
1e-05,sequential.6,88.885438,0.5833333134651184,0.5833333134651184,1.364259958267212,1.364259958267212
2e-05,sequential.2,139.460795,0.5833333134651184,0.5833333134651184,1.3658912181854248,1.3658912181854248
2e-05,sequential.6,94.567527,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
3.0000000000000004e-05,sequential.2,104.390802,0.5833333134651184,0.5833333134651184,1.3648868799209595,1.3648868799209595
3.0000000000000004e-05,sequential.6,87.798478,0.5833333134651184,0.5833333134651184,1.3648446798324585,1.3648446798324585
4e-05,sequential.2,148.246943,0.46212121844291687,0.46212121844291687,2.8996102809906006,2.8996102809906006
4e-05,sequential.6,94.709843,0.5833333134651184,0.5833333134651184,1.3647515773773193,1.3647515773773193
5e-05,sequential.2,135.856961,0.5833333134651184,0.5833333134651184,1.3649213314056396,1.3649213314056396
5e-05,sequential.6,101.821109,0.4583333432674408,0.4583333432674408,4.481622219085693,4.481622219085693
6.000000000000001e-05,sequential.2,130.517714,0.5833333134651184,0.5833333134651184,1.3666738271713257,1.3666738271713257
6.000000000000001e-05,sequential.6,100.144483,0.5833333134651184,0.5833333134651184,1.3645226955413818,1.3645226955413818
7.000000000000001e-05,sequential.2,173.326218,0.5795454382896423,0.5795454382896423,1.3748986721038818,1.3748986721038818
