,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
28,0.0,adapter.backbone.layer2.1.conv2,17.816872,0.9251999855041504,0.2281915992498397
88,1e-07,adapter.backbone.layer2.1.conv2,18.114713,0.9251999855041504,0.2281915992498397
148,2e-07,adapter.backbone.layer2.1.conv2,16.990662,0.9251999855041504,0.2281915992498397
208,3e-07,adapter.backbone.layer2.1.conv2,16.243607,0.9251999855041504,0.2281915992498397
268,4e-07,adapter.backbone.layer2.1.conv2,17.900598,0.9251999855041504,0.2281915992498397
328,5e-07,adapter.backbone.layer2.1.conv2,16.887032,0.9251999855041504,0.2281915992498397
388,6e-07,adapter.backbone.layer2.1.conv2,17.069901,0.9251999855041504,0.2281915992498397
448,7e-07,adapter.backbone.layer2.1.conv2,17.805164,0.9251999855041504,0.2281915992498397
508,8e-07,adapter.backbone.layer2.1.conv2,17.576669,0.9251999855041504,0.2281915992498397
568,9e-07,adapter.backbone.layer2.1.conv2,17.83517,0.9251999855041504,0.2282261252403259
628,1e-06,adapter.backbone.layer2.1.conv2,18.017714,0.9251999855041504,0.2281915992498397
688,2e-06,adapter.backbone.layer2.1.conv2,16.796637,0.9251999855041504,0.2281915992498397
748,3e-06,adapter.backbone.layer2.1.conv2,16.734632,0.9251999855041504,0.2281915992498397
808,4e-06,adapter.backbone.layer2.1.conv2,16.664332,0.6000999808311462,2.6936515578176246e+34
868,5e-06,adapter.backbone.layer2.1.conv2,17.569442,0.9251999855041504,0.2281915545463562
928,6e-06,adapter.backbone.layer2.1.conv2,19.885697,0.9251999855041504,0.2281915992498397
988,7e-06,adapter.backbone.layer2.1.conv2,16.165052,0.9251999855041504,0.2281915992498397
1048,8e-06,adapter.backbone.layer2.1.conv2,18.938745,0.9253000020980836,0.2281840294599533
1108,9e-06,adapter.backbone.layer2.1.conv2,18.481796,0.9251999855041504,0.2281915992498397
1168,1e-05,adapter.backbone.layer2.1.conv2,18.161416,0.9251999855041504,0.2281915992498397
1228,2e-05,adapter.backbone.layer2.1.conv2,18.756927,0.9247999787330629,0.2283267080783844
1288,3.0000000000000004e-05,adapter.backbone.layer2.1.conv2,19.33657,0.9251999855041504,0.2281915992498397
1348,4e-05,adapter.backbone.layer2.1.conv2,16.444189,0.9251999855041504,0.2281811982393264
1408,5e-05,adapter.backbone.layer2.1.conv2,19.388379,0.9251999855041504,0.2281915992498397
1468,6.000000000000001e-05,adapter.backbone.layer2.1.conv2,18.492019,0.9253000020980836,0.2282860279083252
1528,7.000000000000001e-05,adapter.backbone.layer2.1.conv2,18.603866,0.9251999855041504,0.2281916737556457
1588,8e-05,adapter.backbone.layer2.1.conv2,19.072813,0.9251999855041504,0.2281915992498397
1648,9e-05,adapter.backbone.layer2.1.conv2,17.155188,0.9251999855041504,0.2281926721334457
1708,0.0001,adapter.backbone.layer2.1.conv2,18.463367,0.9251999855041504,0.2281915992498397
1768,0.0002,adapter.backbone.layer2.1.conv2,16.460684,0.9251999855041504,0.2281923145055771
1828,0.0003,adapter.backbone.layer2.1.conv2,17.75863,0.9243999719619752,134862468022272.0
1888,0.0004,adapter.backbone.layer2.1.conv2,16.633471,0.9251999855041504,0.2281918972730636
1948,0.0005,adapter.backbone.layer2.1.conv2,17.205287,0.9247000217437744,118645451653120.0
2008,0.0006,adapter.backbone.layer2.1.conv2,18.86394,0.9251999855041504,0.2281916290521621
2068,0.0007,adapter.backbone.layer2.1.conv2,18.186032,0.9251999855041504,0.2281668931245803
2128,0.0008,adapter.backbone.layer2.1.conv2,19.393894,0.9251999855041504,0.2281916290521621
2188,0.0009,adapter.backbone.layer2.1.conv2,19.522879,0.9251999855041504,0.2281915992498397
2248,0.001,adapter.backbone.layer2.1.conv2,23.035018,0.9251999855041504,0.2281916290521621
2308,0.002,adapter.backbone.layer2.1.conv2,20.50088,0.9247000217437744,0.3893833458423614
2368,0.003,adapter.backbone.layer2.1.conv2,18.684326,0.9251999855041504,0.2281916439533233
