,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
45,0.0,adapter.backbone.layer4.0.conv1,17.589374,0.9251999855041504,0.2281915992498397
105,1e-07,adapter.backbone.layer4.0.conv1,17.84806,0.9251999855041504,0.2281915992498397
165,2e-07,adapter.backbone.layer4.0.conv1,17.85976,0.9251999855041504,0.2281915992498397
225,3e-07,adapter.backbone.layer4.0.conv1,17.249242,0.9251999855041504,0.2281915992498397
285,4e-07,adapter.backbone.layer4.0.conv1,17.585033,0.9251999855041504,0.2281915992498397
345,5e-07,adapter.backbone.layer4.0.conv1,17.789076,0.9251999855041504,0.2281915992498397
405,6e-07,adapter.backbone.layer4.0.conv1,16.901468,0.9251999855041504,0.2281915992498397
465,7e-07,adapter.backbone.layer4.0.conv1,16.261417,0.9251999855041504,0.2281915992498397
525,8e-07,adapter.backbone.layer4.0.conv1,17.874623,0.9251999855041504,0.2281915992498397
585,9e-07,adapter.backbone.layer4.0.conv1,17.916341,0.9251999855041504,0.2281915992498397
645,1e-06,adapter.backbone.layer4.0.conv1,16.160524,0.9251999855041504,0.2281915992498397
705,2e-06,adapter.backbone.layer4.0.conv1,18.819408,0.9251999855041504,0.2281915992498397
765,3e-06,adapter.backbone.layer4.0.conv1,17.591524,0.9251999855041504,0.2281915992498397
825,4e-06,adapter.backbone.layer4.0.conv1,16.749561,0.9251999855041504,0.2281915992498397
885,5e-06,adapter.backbone.layer4.0.conv1,17.83147,0.9251999855041504,0.2281915992498397
945,6e-06,adapter.backbone.layer4.0.conv1,16.192444,0.9251999855041504,0.2281915992498397
1005,7e-06,adapter.backbone.layer4.0.conv1,20.192977,0.9251999855041504,0.2281915992498397
1065,8e-06,adapter.backbone.layer4.0.conv1,19.402271,0.9251999855041504,0.2281915992498397
1125,9e-06,adapter.backbone.layer4.0.conv1,19.861191,0.9251999855041504,0.2281915992498397
1185,1e-05,adapter.backbone.layer4.0.conv1,17.3712,0.9251999855041504,0.2281915992498397
1245,2e-05,adapter.backbone.layer4.0.conv1,18.206962,0.9251999855041504,0.2281915992498397
1305,3.0000000000000004e-05,adapter.backbone.layer4.0.conv1,16.453771,0.9251999855041504,0.2281915992498397
1365,4e-05,adapter.backbone.layer4.0.conv1,18.591951,0.9251999855041504,0.2271856665611267
1425,5e-05,adapter.backbone.layer4.0.conv1,18.345265,0.9251999855041504,0.2281915992498397
1485,6.000000000000001e-05,adapter.backbone.layer4.0.conv1,17.992713,0.9251999855041504,0.2281916290521621
1545,7.000000000000001e-05,adapter.backbone.layer4.0.conv1,16.667485,0.9251999855041504,0.2281927764415741
1605,8e-05,adapter.backbone.layer4.0.conv1,16.652609,0.9251999855041504,0.228185087442398
1665,9e-05,adapter.backbone.layer4.0.conv1,17.103837,0.9251999855041504,0.2281922549009323
1725,0.0001,adapter.backbone.layer4.0.conv1,17.628193,0.9251999855041504,0.2281915992498397
1785,0.0002,adapter.backbone.layer4.0.conv1,17.749518,0.9251999855041504,0.2281915098428726
1845,0.0003,adapter.backbone.layer4.0.conv1,20.226728,0.925000011920929,0.2276978343725204
1905,0.0004,adapter.backbone.layer4.0.conv1,17.445131,0.9251999855041504,0.2281915992498397
1965,0.0005,adapter.backbone.layer4.0.conv1,16.2369,0.9251999855041504,0.2281916290521621
2025,0.0006,adapter.backbone.layer4.0.conv1,18.051268,0.9251999855041504,0.2281916290521621
2085,0.0007,adapter.backbone.layer4.0.conv1,18.331931,0.9251999855041504,0.2281915992498397
2145,0.0008,adapter.backbone.layer4.0.conv1,18.638484,0.1072999984025955,
2205,0.0009,adapter.backbone.layer4.0.conv1,18.341297,0.9251999855041504,0.2281915992498397
2265,0.001,adapter.backbone.layer4.0.conv1,18.301305,0.9244999885559082,0.2299786359071731
2325,0.002,adapter.backbone.layer4.0.conv1,18.763042,0.9211999773979188,0.249168112874031
2385,0.003,adapter.backbone.layer4.0.conv1,17.754172,0.9246000051498412,0.2282961010932922
2445,0.004,adapter.backbone.layer4.0.conv1,18.789237,0.9251999855041504,0.2281915843486786
2505,0.005,adapter.backbone.layer4.0.conv1,18.20321,0.9251999855041504,0.2281914502382278
2565,0.006,adapter.backbone.layer4.0.conv1,20.077771,0.9253000020980836,0.2282033711671829
2625,0.007,adapter.backbone.layer4.0.conv1,18.5373,0.9251999855041504,0.2281915992498397
2685,0.008,adapter.backbone.layer4.0.conv1,20.235081,0.9251999855041504,0.2281915992498397
2745,0.009,adapter.backbone.layer4.0.conv1,21.464758,0.891700029373169,0.5973044633865356
2805,0.01,adapter.backbone.layer4.0.conv1,18.621206,0.9251999855041504,0.2282472103834152
2865,0.02,adapter.backbone.layer4.0.conv1,18.13128,0.9251999855041504,0.2281917780637741
2925,0.03,adapter.backbone.layer4.0.conv1,19.619374,0.9251999855041504,0.2281916737556457
2985,0.04,adapter.backbone.layer4.0.conv1,18.300828,0.919700026512146,0.2410798817873001
3045,0.05,adapter.backbone.layer4.0.conv1,17.179255,0.1001999974250793,
3105,0.06,adapter.backbone.layer4.0.conv1,18.382192,0.9251999855041504,0.2281915992498397
3165,0.07,adapter.backbone.layer4.0.conv1,21.392663,0.9251999855041504,0.2281960397958755
3225,0.08,adapter.backbone.layer4.0.conv1,19.639373,0.9251999855041504,0.2281916290521621
3285,0.09,adapter.backbone.layer4.0.conv1,18.929569,0.9251999855041504,0.2281917035579681
3345,0.1,adapter.backbone.layer4.0.conv1,19.724762,0.8783000111579895,0.3653807044029236
3405,0.2,adapter.backbone.layer4.0.conv1,18.12287,0.9251999855041504,0.2281916290521621
3465,0.3,adapter.backbone.layer4.0.conv1,19.114712,0.9253000020980836,0.2282049506902694
3525,0.4,adapter.backbone.layer4.0.conv1,19.519965,0.9251999855041504,0.228201612830162
3585,0.5,adapter.backbone.layer4.0.conv1,21.368335,0.9248999953269958,0.2289423793554306
3645,0.6000000000000001,adapter.backbone.layer4.0.conv1,17.91937,0.9251999855041504,0.2281915992498397
3705,0.7000000000000001,adapter.backbone.layer4.0.conv1,17.759686,0.1454000025987625,3373.47607421875
3765,0.8,adapter.backbone.layer4.0.conv1,18.509467,0.9251999855041504,0.2281921654939651
3825,0.9,adapter.backbone.layer4.0.conv1,19.387718,0.1639000028371811,4.625413417816162
3885,1.0,adapter.backbone.layer4.0.conv1,22.160978,0.1457999944686889,288731424.0
