,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
23,0.0,adapter.backbone.layer2.0.downsample.1,16.728988,0.9251999855041504,0.2281915992498397
83,1e-07,adapter.backbone.layer2.0.downsample.1,17.61959,0.9251999855041504,0.2281915992498397
143,2e-07,adapter.backbone.layer2.0.downsample.1,18.438237,0.9251999855041504,0.2281915992498397
203,3e-07,adapter.backbone.layer2.0.downsample.1,18.161993,0.9251999855041504,0.2281915992498397
263,4e-07,adapter.backbone.layer2.0.downsample.1,17.831423,0.9251999855041504,0.2281915992498397
323,5e-07,adapter.backbone.layer2.0.downsample.1,17.130288,0.9251999855041504,0.2281915992498397
383,6e-07,adapter.backbone.layer2.0.downsample.1,17.763444,0.9251999855041504,0.2281915992498397
443,7e-07,adapter.backbone.layer2.0.downsample.1,15.954528,0.9251999855041504,0.2281915992498397
503,8e-07,adapter.backbone.layer2.0.downsample.1,17.88034,0.9251999855041504,0.2281915992498397
563,9e-07,adapter.backbone.layer2.0.downsample.1,17.669972,0.9251999855041504,0.2281915992498397
623,1e-06,adapter.backbone.layer2.0.downsample.1,19.788065,0.9251999855041504,0.2281915992498397
683,2e-06,adapter.backbone.layer2.0.downsample.1,16.869464,0.9251999855041504,0.2281915992498397
743,3e-06,adapter.backbone.layer2.0.downsample.1,18.100059,0.9251999855041504,0.2281915992498397
803,4e-06,adapter.backbone.layer2.0.downsample.1,17.88793,0.9251999855041504,0.2281915992498397
863,5e-06,adapter.backbone.layer2.0.downsample.1,19.861193,0.9251999855041504,0.2281915992498397
923,6e-06,adapter.backbone.layer2.0.downsample.1,17.328611,0.9251999855041504,0.2281915992498397
983,7e-06,adapter.backbone.layer2.0.downsample.1,18.799062,0.9251999855041504,0.2281849831342697
1043,8e-06,adapter.backbone.layer2.0.downsample.1,19.874893,0.9251999855041504,0.2281911820173263
1103,9e-06,adapter.backbone.layer2.0.downsample.1,18.260511,0.9251999855041504,0.2281915992498397
1163,1e-05,adapter.backbone.layer2.0.downsample.1,20.022186,0.9251999855041504,0.2281915992498397
1223,2e-05,adapter.backbone.layer2.0.downsample.1,17.717734,0.9251999855041504,0.2281916290521621
1283,3.0000000000000004e-05,adapter.backbone.layer2.0.downsample.1,17.938478,0.9251999855041504,0.2281923145055771
1343,4e-05,adapter.backbone.layer2.0.downsample.1,17.760637,0.9251999855041504,0.2281916290521621
1403,5e-05,adapter.backbone.layer2.0.downsample.1,18.794664,0.9251999855041504,0.2281915992498397
1463,6.000000000000001e-05,adapter.backbone.layer2.0.downsample.1,18.886839,0.9254000186920166,0.2282810807228088
1523,7.000000000000001e-05,adapter.backbone.layer2.0.downsample.1,17.88908,0.9251999855041504,0.2281916290521621
1583,8e-05,adapter.backbone.layer2.0.downsample.1,18.141819,0.9251999855041504,0.2281916290521621
1643,9e-05,adapter.backbone.layer2.0.downsample.1,19.215661,0.925100028514862,0.2282396703958511
1703,0.0001,adapter.backbone.layer2.0.downsample.1,18.527195,0.925100028514862,42751982829568.0
1763,0.0002,adapter.backbone.layer2.0.downsample.1,16.725605,0.9251999855041504,0.2281916290521621
1823,0.0003,adapter.backbone.layer2.0.downsample.1,18.932011,0.9251999855041504,0.2281915992498397
1883,0.0004,adapter.backbone.layer2.0.downsample.1,16.385773,0.9246000051498412,178946675048448.0
1943,0.0005,adapter.backbone.layer2.0.downsample.1,16.759524,0.9251999855041504,0.2281916290521621
2003,0.0006,adapter.backbone.layer2.0.downsample.1,17.813321,0.9251999855041504,0.2281917035579681
2063,0.0007,adapter.backbone.layer2.0.downsample.1,18.496927,0.9251999855041504,0.2281916290521621
2123,0.0008,adapter.backbone.layer2.0.downsample.1,18.297695,0.9248999953269958,142466414018560.0
2183,0.0009,adapter.backbone.layer2.0.downsample.1,18.490072,0.9251999855041504,0.2281916439533233
2243,0.001,adapter.backbone.layer2.0.downsample.1,18.541488,0.9251999855041504,0.2281920611858368
2303,0.002,adapter.backbone.layer2.0.downsample.1,19.322861,0.925100028514862,0.2282577455043792
2363,0.003,adapter.backbone.layer2.0.downsample.1,18.097299,0.9090999960899352,998373.875
2423,0.004,adapter.backbone.layer2.0.downsample.1,17.972504,0.925100028514862,0.2283063530921936
2483,0.005,adapter.backbone.layer2.0.downsample.1,18.606089,0.9251999855041504,0.2281915545463562
2543,0.006,adapter.backbone.layer2.0.downsample.1,18.210308,0.9251999855041504,0.2281915843486786
2603,0.007,adapter.backbone.layer2.0.downsample.1,21.978591,0.9251999855041504,0.2281907498836517
2663,0.008,adapter.backbone.layer2.0.downsample.1,19.474945,0.9251999855041504,0.2281917035579681
2723,0.009,adapter.backbone.layer2.0.downsample.1,18.858996,0.9253000020980836,0.2281945049762725
2783,0.01,adapter.backbone.layer2.0.downsample.1,20.286985,0.9254000186920166,0.2282145023345947
2843,0.02,adapter.backbone.layer2.0.downsample.1,19.155558,0.9247999787330629,0.228232055902481
2903,0.03,adapter.backbone.layer2.0.downsample.1,20.597975,0.9251999855041504,0.2281915247440338
2963,0.04,adapter.backbone.layer2.0.downsample.1,17.196707,0.9251999855041504,0.2281915843486786
3023,0.05,adapter.backbone.layer2.0.downsample.1,18.448653,0.9251999855041504,0.2281915992498397
3083,0.06,adapter.backbone.layer2.0.downsample.1,20.218873,0.9251999855041504,0.2281918972730636
3143,0.07,adapter.backbone.layer2.0.downsample.1,18.537911,0.6585999727249146,36915356.0
3203,0.08,adapter.backbone.layer2.0.downsample.1,18.405933,0.9251999855041504,0.2281915843486786
3263,0.09,adapter.backbone.layer2.0.downsample.1,19.909771,0.9251999855041504,0.2281919866800308
3323,0.1,adapter.backbone.layer2.0.downsample.1,20.191357,0.9251999855041504,0.2281869798898697
3383,0.2,adapter.backbone.layer2.0.downsample.1,18.484402,0.9251999855041504,0.2281916439533233
3443,0.3,adapter.backbone.layer2.0.downsample.1,19.841951,0.6351000070571899,3.6683871746063232
3503,0.4,adapter.backbone.layer2.0.downsample.1,17.017071,0.8190000057220459,0.5267142653465271
3563,0.5,adapter.backbone.layer2.0.downsample.1,18.151437,0.8586000204086304,0.4248925745487213
3623,0.6000000000000001,adapter.backbone.layer2.0.downsample.1,19.589482,0.925100028514862,0.2281817942857742
