,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
17,0.0,adapter.backbone.layer2.0.conv1,17.830104,0.9251999855041504,0.2281915992498397
77,1e-07,adapter.backbone.layer2.0.conv1,17.777109,0.9251999855041504,0.2281915992498397
137,2e-07,adapter.backbone.layer2.0.conv1,18.073207,0.9251999855041504,0.2281915992498397
197,3e-07,adapter.backbone.layer2.0.conv1,19.606957,0.9251999855041504,0.2281915992498397
257,4e-07,adapter.backbone.layer2.0.conv1,17.316575,0.9251999855041504,0.2281915992498397
317,5e-07,adapter.backbone.layer2.0.conv1,17.527741,0.9251999855041504,0.2281915992498397
377,6e-07,adapter.backbone.layer2.0.conv1,16.64268,0.9251999855041504,0.2281915992498397
437,7e-07,adapter.backbone.layer2.0.conv1,17.571934,0.9251999855041504,0.2281915992498397
497,8e-07,adapter.backbone.layer2.0.conv1,16.946971,0.9251999855041504,0.2281915992498397
557,9e-07,adapter.backbone.layer2.0.conv1,16.743417,0.9251999855041504,0.2281915992498397
617,1e-06,adapter.backbone.layer2.0.conv1,17.456301,0.9251999855041504,0.2281915992498397
677,2e-06,adapter.backbone.layer2.0.conv1,17.648389,0.9251999855041504,0.2281915992498397
737,3e-06,adapter.backbone.layer2.0.conv1,18.008759,0.9251999855041504,0.2281915992498397
797,4e-06,adapter.backbone.layer2.0.conv1,15.806921,0.9251999855041504,0.2281915992498397
857,5e-06,adapter.backbone.layer2.0.conv1,17.632477,0.9251999855041504,0.2281915992498397
917,6e-06,adapter.backbone.layer2.0.conv1,17.344385,0.9251999855041504,0.2281915992498397
977,7e-06,adapter.backbone.layer2.0.conv1,17.633531,0.9251999855041504,0.2281834036111831
1037,8e-06,adapter.backbone.layer2.0.conv1,19.365578,0.9203000068664552,149504.421875
1097,9e-06,adapter.backbone.layer2.0.conv1,18.77408,0.9247999787330629,0.4005676507949829
1157,1e-05,adapter.backbone.layer2.0.conv1,17.967124,0.9251999855041504,0.2281910330057144
1217,2e-05,adapter.backbone.layer2.0.conv1,18.433559,0.9251999855041504,0.228201150894165
1277,3.0000000000000004e-05,adapter.backbone.layer2.0.conv1,17.818707,0.9251999855041504,0.2281915992498397
1337,4e-05,adapter.backbone.layer2.0.conv1,16.008693,0.9075999855995178,347144.65625
1397,5e-05,adapter.backbone.layer2.0.conv1,17.078463,0.9251999855041504,0.2281915098428726
1457,6.000000000000001e-05,adapter.backbone.layer2.0.conv1,19.444527,0.9251999855041504,0.2281984835863113
1517,7.000000000000001e-05,adapter.backbone.layer2.0.conv1,17.733886,0.9247999787330629,0.2285006642341613
1577,8e-05,adapter.backbone.layer2.0.conv1,18.15161,0.8970999717712402,9.359272003173828
1637,9e-05,adapter.backbone.layer2.0.conv1,20.1597,0.84170001745224,2010481.25
1697,0.0001,adapter.backbone.layer2.0.conv1,19.439385,0.9251999855041504,0.2281915992498397
1757,0.0002,adapter.backbone.layer2.0.conv1,15.961945,0.9251999855041504,0.2281915545463562
1817,0.0003,adapter.backbone.layer2.0.conv1,18.184466,0.9251999855041504,0.2281916290521621
1877,0.0004,adapter.backbone.layer2.0.conv1,18.489638,0.925100028514862,0.2283367365598678
1937,0.0005,adapter.backbone.layer2.0.conv1,17.754771,0.9251999855041504,0.2281915992498397
1997,0.0006,adapter.backbone.layer2.0.conv1,18.276633,0.8701000213623047,0.4455209076404571
2057,0.0007,adapter.backbone.layer2.0.conv1,19.956933,0.9254000186920166,0.2282003909349441
