,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
55,0.0,adapter.backbone.layer4.1.relu,17.38034,0.9251999855041504,0.2281915992498397
58,0.0,adapter.backbone.layer4.1.relu,17.039601,0.9251999855041504,0.2281915992498397
115,1e-07,adapter.backbone.layer4.1.relu,17.91847,0.9251999855041504,0.2281915992498397
118,1e-07,adapter.backbone.layer4.1.relu,17.906785,0.9251999855041504,0.2281915992498397
175,2e-07,adapter.backbone.layer4.1.relu,20.847689,0.9251999855041504,0.2281915992498397
178,2e-07,adapter.backbone.layer4.1.relu,17.397439,0.9251999855041504,0.2281915992498397
235,3e-07,adapter.backbone.layer4.1.relu,17.173507,0.9251999855041504,0.2281915992498397
238,3e-07,adapter.backbone.layer4.1.relu,16.983861,0.9251999855041504,0.2281915992498397
295,4e-07,adapter.backbone.layer4.1.relu,15.935557,0.9251999855041504,0.2281915992498397
298,4e-07,adapter.backbone.layer4.1.relu,16.406481,0.9251999855041504,0.2281915992498397
355,5e-07,adapter.backbone.layer4.1.relu,18.511742,0.9251999855041504,0.2281915992498397
358,5e-07,adapter.backbone.layer4.1.relu,17.884266,0.9251999855041504,0.2281915992498397
415,6e-07,adapter.backbone.layer4.1.relu,17.576458,0.9251999855041504,0.2281915992498397
418,6e-07,adapter.backbone.layer4.1.relu,17.781456,0.9251999855041504,0.2281915992498397
475,7e-07,adapter.backbone.layer4.1.relu,17.153657,0.9251999855041504,0.2281915992498397
478,7e-07,adapter.backbone.layer4.1.relu,19.852706,0.9251999855041504,0.2281915992498397
535,8e-07,adapter.backbone.layer4.1.relu,17.728905,0.9251999855041504,0.2281915992498397
538,8e-07,adapter.backbone.layer4.1.relu,17.736911,0.9251999855041504,0.2281915992498397
595,9e-07,adapter.backbone.layer4.1.relu,17.560654,0.9251999855041504,0.2281915992498397
598,9e-07,adapter.backbone.layer4.1.relu,16.810958,0.9251999855041504,0.2281915992498397
655,1e-06,adapter.backbone.layer4.1.relu,17.832597,0.9251999855041504,0.2281915992498397
658,1e-06,adapter.backbone.layer4.1.relu,16.602049,0.9251999855041504,0.2281915992498397
715,2e-06,adapter.backbone.layer4.1.relu,16.805229,0.9251999855041504,0.2281915992498397
718,2e-06,adapter.backbone.layer4.1.relu,18.085802,0.9251999855041504,0.2281915992498397
775,3e-06,adapter.backbone.layer4.1.relu,18.183855,0.9251999855041504,0.2281915992498397
778,3e-06,adapter.backbone.layer4.1.relu,19.278531,0.9251999855041504,0.2281915992498397
835,4e-06,adapter.backbone.layer4.1.relu,18.350593,0.9251999855041504,0.2281915992498397
838,4e-06,adapter.backbone.layer4.1.relu,17.342869,0.7615000009536743,
895,5e-06,adapter.backbone.layer4.1.relu,18.045086,0.9251999855041504,0.2281915992498397
898,5e-06,adapter.backbone.layer4.1.relu,16.710052,0.9251999855041504,0.2281915992498397
955,6e-06,adapter.backbone.layer4.1.relu,17.730237,0.9251999855041504,0.2281915992498397
958,6e-06,adapter.backbone.layer4.1.relu,18.377895,0.9251999855041504,0.2281915992498397
1015,7e-06,adapter.backbone.layer4.1.relu,21.209592,0.9251999855041504,0.2281915992498397
1018,7e-06,adapter.backbone.layer4.1.relu,21.083292,0.9251999855041504,0.2281915992498397
1075,8e-06,adapter.backbone.layer4.1.relu,22.683221,0.9251999855041504,0.2281915992498397
1078,8e-06,adapter.backbone.layer4.1.relu,16.585918,0.9251999855041504,0.2281915992498397
1135,9e-06,adapter.backbone.layer4.1.relu,16.549069,0.9251999855041504,0.2281915992498397
1138,9e-06,adapter.backbone.layer4.1.relu,18.704562,0.9251999855041504,0.2281915992498397
1195,1e-05,adapter.backbone.layer4.1.relu,15.682436,0.9251999855041504,0.2281915992498397
1198,1e-05,adapter.backbone.layer4.1.relu,18.273883,0.9251999855041504,0.2281915992498397
1255,2e-05,adapter.backbone.layer4.1.relu,19.679576,0.9251999855041504,0.2281915992498397
1258,2e-05,adapter.backbone.layer4.1.relu,17.49177,0.4075999855995178,
1315,3.0000000000000004e-05,adapter.backbone.layer4.1.relu,18.416748,0.9251999855041504,0.2281915992498397
1318,3.0000000000000004e-05,adapter.backbone.layer4.1.relu,19.432391,0.9253000020980836,0.2283476293087005
1375,4e-05,adapter.backbone.layer4.1.relu,17.917766,0.9251999855041504,0.228192389011383
1378,4e-05,adapter.backbone.layer4.1.relu,17.044518,0.9251999855041504,0.2281915992498397
1435,5e-05,adapter.backbone.layer4.1.relu,17.132178,0.9251999855041504,0.2281915992498397
1438,5e-05,adapter.backbone.layer4.1.relu,17.074216,0.9251999855041504,0.2281915992498397
1495,6.000000000000001e-05,adapter.backbone.layer4.1.relu,16.863908,0.9253000020980836,0.2273952215909958
1498,6.000000000000001e-05,adapter.backbone.layer4.1.relu,17.303646,0.9251999855041504,0.2281915992498397
1555,7.000000000000001e-05,adapter.backbone.layer4.1.relu,18.16218,0.9251999855041504,0.2281915992498397
1558,7.000000000000001e-05,adapter.backbone.layer4.1.relu,18.60488,0.5199999809265137,1.252387724501975e+17
1615,8e-05,adapter.backbone.layer4.1.relu,17.66435,0.9251999855041504,0.2281915992498397
1618,8e-05,adapter.backbone.layer4.1.relu,17.972851,0.6419000029563904,4552868233216.0
1675,9e-05,adapter.backbone.layer4.1.relu,19.892485,0.9236999750137328,0.2302409708499908
1678,9e-05,adapter.backbone.layer4.1.relu,22.312435,0.925000011920929,0.228043258190155
1735,0.0001,adapter.backbone.layer4.1.relu,17.660435,0.858299970626831,2203459.0
1738,0.0001,adapter.backbone.layer4.1.relu,18.023737,0.9251999855041504,0.2281915992498397
1795,0.0002,adapter.backbone.layer4.1.relu,18.613734,0.9251999855041504,0.2281915992498397
1798,0.0002,adapter.backbone.layer4.1.relu,16.657112,0.1142000034451484,
1855,0.0003,adapter.backbone.layer4.1.relu,17.231344,0.9251999855041504,0.22819185256958
1858,0.0003,adapter.backbone.layer4.1.relu,16.600439,0.9254999756813048,0.2280167788267135
1915,0.0004,adapter.backbone.layer4.1.relu,18.850795,0.9251999855041504,0.2281914800405502
1918,0.0004,adapter.backbone.layer4.1.relu,17.77645,0.9251999855041504,0.2281916290521621
1975,0.0005,adapter.backbone.layer4.1.relu,18.004031,0.9251999855041504,0.2281916290521621
1978,0.0005,adapter.backbone.layer4.1.relu,17.586398,0.9251999855041504,0.2281917035579681
2035,0.0006,adapter.backbone.layer4.1.relu,19.105643,0.9251999855041504,0.2281915545463562
2038,0.0006,adapter.backbone.layer4.1.relu,17.581982,0.9251999855041504,0.2281915247440338
2095,0.0007,adapter.backbone.layer4.1.relu,17.018705,0.9251999855041504,0.2281914502382278
2098,0.0007,adapter.backbone.layer4.1.relu,21.128111,0.9251999855041504,0.2281916290521621
2155,0.0008,adapter.backbone.layer4.1.relu,17.188171,0.9251999855041504,0.2281916737556457
2158,0.0008,adapter.backbone.layer4.1.relu,20.002315,0.9251999855041504,0.228195235133171
2215,0.0009,adapter.backbone.layer4.1.relu,22.418975,0.9251999855041504,0.2281916290521621
2218,0.0009,adapter.backbone.layer4.1.relu,19.435866,0.9251999855041504,0.2281915992498397
2275,0.001,adapter.backbone.layer4.1.relu,18.481864,0.9251999855041504,0.2281915992498397
2278,0.001,adapter.backbone.layer4.1.relu,18.651868,0.9251999855041504,0.2281915992498397
2335,0.002,adapter.backbone.layer4.1.relu,16.638903,0.9248999953269958,0.2283825874328613
2338,0.002,adapter.backbone.layer4.1.relu,16.109781,0.2565000057220459,669748274659328.0
2395,0.003,adapter.backbone.layer4.1.relu,17.06126,0.9251999855041504,0.2281916290521621
2398,0.003,adapter.backbone.layer4.1.relu,18.745814,0.9251999855041504,0.2281915992498397
2455,0.004,adapter.backbone.layer4.1.relu,18.430146,0.4013000130653381,49344212369408.0
2458,0.004,adapter.backbone.layer4.1.relu,19.299433,0.9251999855041504,0.2281919121742248
2515,0.005,adapter.backbone.layer4.1.relu,18.689078,0.9253000020980836,0.2282497286796569
2518,0.005,adapter.backbone.layer4.1.relu,18.801844,0.9251999855041504,0.2281915992498397
2575,0.006,adapter.backbone.layer4.1.relu,18.600851,0.5027999877929688,68617085386752.0
2578,0.006,adapter.backbone.layer4.1.relu,19.965264,0.9251999855041504,0.2281915545463562
2635,0.007,adapter.backbone.layer4.1.relu,19.065132,0.9251999855041504,0.2281916290521621
2638,0.007,adapter.backbone.layer4.1.relu,17.399942,0.9251999855041504,0.2281919419765472
2695,0.008,adapter.backbone.layer4.1.relu,18.186333,0.9251999855041504,0.2281915992498397
2698,0.008,adapter.backbone.layer4.1.relu,18.735346,0.6671000123023987,6.012141227722168
2755,0.009,adapter.backbone.layer4.1.relu,20.02495,0.5637000203132629,
2758,0.009,adapter.backbone.layer4.1.relu,19.171062,0.9251999855041504,0.2281915992498397
2815,0.01,adapter.backbone.layer4.1.relu,17.812062,0.9251999855041504,0.2281916439533233
2818,0.01,adapter.backbone.layer4.1.relu,18.388317,0.9251999855041504,0.2281915992498397
2875,0.02,adapter.backbone.layer4.1.relu,18.121357,0.9251999855041504,0.2281920164823532
2878,0.02,adapter.backbone.layer4.1.relu,18.029585,0.9254000186920166,0.2282446473836898
2935,0.03,adapter.backbone.layer4.1.relu,23.29836,0.9251999855041504,0.2281916439533233
2938,0.03,adapter.backbone.layer4.1.relu,17.872388,0.9175000190734864,0.2406917065382003
2995,0.04,adapter.backbone.layer4.1.relu,19.955311,0.925100028514862,0.2282117158174514
2998,0.04,adapter.backbone.layer4.1.relu,19.442229,0.9251999855041504,0.2281915992498397
3055,0.05,adapter.backbone.layer4.1.relu,18.270914,0.8525999784469604,5800421515853824.0
3058,0.05,adapter.backbone.layer4.1.relu,18.066891,0.840499997138977,5676168111980544.0
3115,0.06,adapter.backbone.layer4.1.relu,18.898804,0.9251999855041504,0.2281836867332458
3118,0.06,adapter.backbone.layer4.1.relu,19.99825,0.1000000014901161,
3175,0.07,adapter.backbone.layer4.1.relu,20.175566,0.9251999855041504,0.2281916439533233
3178,0.07,adapter.backbone.layer4.1.relu,19.187428,0.9235000014305116,0.2310565859079361
3235,0.08,adapter.backbone.layer4.1.relu,20.762179,0.9251999855041504,0.2281915992498397
3238,0.08,adapter.backbone.layer4.1.relu,18.406872,0.9251999855041504,0.2281915992498397
3295,0.09,adapter.backbone.layer4.1.relu,20.347773,0.9247999787330629,0.2285728305578231
3298,0.09,adapter.backbone.layer4.1.relu,16.371878,0.9251999855041504,0.2281915992498397
3355,0.1,adapter.backbone.layer4.1.relu,18.016889,0.9251999855041504,0.2281915992498397
3358,0.1,adapter.backbone.layer4.1.relu,23.587746,0.9251999855041504,0.2281915992498397
3415,0.2,adapter.backbone.layer4.1.relu,21.948668,0.9251999855041504,0.2281916439533233
3418,0.2,adapter.backbone.layer4.1.relu,16.278556,0.9253000020980836,0.2281946986913681
3475,0.3,adapter.backbone.layer4.1.relu,18.43288,0.8985999822616577,0.4292964935302734
3478,0.3,adapter.backbone.layer4.1.relu,17.98038,0.9251999855041504,0.2281916290521621
3535,0.4,adapter.backbone.layer4.1.relu,21.621133,0.9251999855041504,0.2281917184591293
3538,0.4,adapter.backbone.layer4.1.relu,19.76986,0.9251999855041504,0.2281873822212219
3595,0.5,adapter.backbone.layer4.1.relu,20.709772,0.8628000020980835,0.7656118869781494
3598,0.5,adapter.backbone.layer4.1.relu,18.871754,0.9251999855041504,0.2281915992498397
3655,0.6000000000000001,adapter.backbone.layer4.1.relu,20.575557,0.9246000051498412,0.2418243438005447
3658,0.6000000000000001,adapter.backbone.layer4.1.relu,18.218978,0.9253000020980836,0.2281896024942398
3715,0.7000000000000001,adapter.backbone.layer4.1.relu,19.58495,0.9251999855041504,0.2281915545463562
3718,0.7000000000000001,adapter.backbone.layer4.1.relu,16.099812,0.9251999855041504,0.2281902879476547
3775,0.8,adapter.backbone.layer4.1.relu,18.575662,0.925100028514862,0.2280956357717514
3778,0.8,adapter.backbone.layer4.1.relu,18.338781,0.9251999855041504,0.2281915843486786
3835,0.9,adapter.backbone.layer4.1.relu,19.552188,0.9251999855041504,0.2281916439533233
3838,0.9,adapter.backbone.layer4.1.relu,20.904221,0.4323000013828277,35.17392349243164
3895,1.0,adapter.backbone.layer4.1.relu,19.059759,0.9251999855041504,0.2281916439533233
3898,1.0,adapter.backbone.layer4.1.relu,18.911008,0.9243999719619752,0.2339812219142913
