,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
5,0.0,adapter.backbone.layer1.0.conv1,15.862737,0.9251999855041504,0.2281915992498397
65,1e-07,adapter.backbone.layer1.0.conv1,16.82171,0.9251999855041504,0.2281915992498397
125,2e-07,adapter.backbone.layer1.0.conv1,18.086667,0.9251999855041504,0.2281915992498397
185,3e-07,adapter.backbone.layer1.0.conv1,18.141602,0.9251999855041504,0.2281915992498397
245,4e-07,adapter.backbone.layer1.0.conv1,17.82859,0.9251999855041504,0.2281915992498397
305,5e-07,adapter.backbone.layer1.0.conv1,16.397325,0.9251999855041504,0.2281915992498397
365,6e-07,adapter.backbone.layer1.0.conv1,17.143059,0.9251999855041504,0.2281915992498397
425,7e-07,adapter.backbone.layer1.0.conv1,16.535378,0.9251999855041504,0.2281915992498397
485,8e-07,adapter.backbone.layer1.0.conv1,16.663845,0.9251999855041504,0.2281915992498397
545,9e-07,adapter.backbone.layer1.0.conv1,17.369419,0.9251999855041504,0.2281915992498397
605,1e-06,adapter.backbone.layer1.0.conv1,16.555142,0.9251999855041504,0.2281915992498397
665,2e-06,adapter.backbone.layer1.0.conv1,20.160287,0.9251999855041504,0.2281915992498397
725,3e-06,adapter.backbone.layer1.0.conv1,17.568008,0.9251999855041504,0.2281915992498397
785,4e-06,adapter.backbone.layer1.0.conv1,17.44754,0.9251999855041504,0.2281915992498397
845,5e-06,adapter.backbone.layer1.0.conv1,17.013044,0.9251999855041504,0.2281915992498397
905,6e-06,adapter.backbone.layer1.0.conv1,18.676566,0.9253000020980836,0.2282162308692932
965,7e-06,adapter.backbone.layer1.0.conv1,17.843532,0.9251999855041504,0.2281915992498397
1025,8e-06,adapter.backbone.layer1.0.conv1,20.192832,0.9251999855041504,0.2281915992498397
1085,9e-06,adapter.backbone.layer1.0.conv1,20.189029,0.9251999855041504,0.2281915992498397
1145,1e-05,adapter.backbone.layer1.0.conv1,18.422541,0.9251999855041504,0.2281915992498397
1205,2e-05,adapter.backbone.layer1.0.conv1,19.136664,0.9253000020980836,0.2281206548213958
1265,3.0000000000000004e-05,adapter.backbone.layer1.0.conv1,19.862323,0.9251999855041504,0.2281916439533233
1325,4e-05,adapter.backbone.layer1.0.conv1,19.651362,0.9246000051498412,0.2287917286157608
1385,5e-05,adapter.backbone.layer1.0.conv1,18.861959,0.9251999855041504,0.2281915992498397
1445,6.000000000000001e-05,adapter.backbone.layer1.0.conv1,17.672246,0.9251999855041504,0.2281915545463562
1505,7.000000000000001e-05,adapter.backbone.layer1.0.conv1,19.729109,0.9248999953269958,0.2282051295042038
1565,8e-05,adapter.backbone.layer1.0.conv1,16.170198,0.9217000007629396,0.2371862828731537
1625,9e-05,adapter.backbone.layer1.0.conv1,19.935302,0.9251999855041504,0.2281758338212967
1685,0.0001,adapter.backbone.layer1.0.conv1,18.485271,0.9240999817848206,4140.9052734375
1745,0.0002,adapter.backbone.layer1.0.conv1,17.528539,0.9251999855041504,0.2281915843486786
1805,0.0003,adapter.backbone.layer1.0.conv1,17.190195,0.1000000014901161,
1865,0.0004,adapter.backbone.layer1.0.conv1,16.275816,0.9251999855041504,0.2281879335641861
1925,0.0005,adapter.backbone.layer1.0.conv1,17.431296,0.1000000014901161,
1985,0.0006,adapter.backbone.layer1.0.conv1,18.177862,0.921999990940094,0.2416858822107315
2045,0.0007,adapter.backbone.layer1.0.conv1,17.937697,0.840399980545044,3474862886617088.0
2105,0.0008,adapter.backbone.layer1.0.conv1,18.264846,0.9251999855041504,0.2281916290521621
2165,0.0009,adapter.backbone.layer1.0.conv1,20.087337,0.9251999855041504,0.2281916290521621
2225,0.001,adapter.backbone.layer1.0.conv1,20.129098,0.923799991607666,0.2312402129173278
2285,0.002,adapter.backbone.layer1.0.conv1,18.82601,0.8913000226020813,0.3364222049713135
2345,0.003,adapter.backbone.layer1.0.conv1,16.847385,0.9251999855041504,0.2281915992498397
2405,0.004,adapter.backbone.layer1.0.conv1,19.113345,0.8425999879837036,0.4911792576313019
2465,0.005,adapter.backbone.layer1.0.conv1,18.748469,0.9251999855041504,0.2281915843486786
2525,0.006,adapter.backbone.layer1.0.conv1,16.544063,0.9251999855041504,0.2281915992498397
2585,0.007,adapter.backbone.layer1.0.conv1,19.704959,0.9251999855041504,0.2281915843486786
2645,0.008,adapter.backbone.layer1.0.conv1,18.487623,0.9251999855041504,0.2282030582427978
2705,0.009,adapter.backbone.layer1.0.conv1,18.633447,0.9251999855041504,0.2281915992498397
2765,0.01,adapter.backbone.layer1.0.conv1,18.024463,0.9251999855041504,0.2282727062702179
2825,0.02,adapter.backbone.layer1.0.conv1,19.803263,0.925100028514862,0.2282215803861618
2885,0.03,adapter.backbone.layer1.0.conv1,19.591249,0.9251999855041504,0.2281907051801681
2945,0.04,adapter.backbone.layer1.0.conv1,19.358115,0.925000011920929,0.2285357862710952
3005,0.05,adapter.backbone.layer1.0.conv1,17.672746,0.9221000075340272,0.2386964857578277
3065,0.06,adapter.backbone.layer1.0.conv1,19.635687,0.9251999855041504,0.2281916439533233
3125,0.07,adapter.backbone.layer1.0.conv1,19.148851,0.9251999855041504,0.2281916439533233
3185,0.08,adapter.backbone.layer1.0.conv1,19.628936,0.9251999855041504,0.2281909137964248
3245,0.09,adapter.backbone.layer1.0.conv1,19.767664,0.64410001039505,1.142717719078064
3305,0.1,adapter.backbone.layer1.0.conv1,18.085156,0.1000000014901161,9.76615047454834
3365,0.2,adapter.backbone.layer1.0.conv1,21.220456,0.0903000012040138,143711920.0
3425,0.3,adapter.backbone.layer1.0.conv1,17.813501,0.9251999855041504,0.2281916439533233
3485,0.4,adapter.backbone.layer1.0.conv1,18.954337,0.9164000153541564,0.253734827041626
3545,0.5,adapter.backbone.layer1.0.conv1,18.790355,0.9251999855041504,0.2281855195760727
3605,0.6000000000000001,adapter.backbone.layer1.0.conv1,19.873068,0.9251999855041504,0.2281915843486786
3665,0.7000000000000001,adapter.backbone.layer1.0.conv1,18.210521,0.7681999802589417,0.7401027083396912
3725,0.8,adapter.backbone.layer1.0.conv1,17.959779,0.9099000096321106,0.2722803354263305
3785,0.9,adapter.backbone.layer1.0.conv1,18.190852,0.9251999855041504,0.2281917482614517
3845,1.0,adapter.backbone.layer1.0.conv1,22.71052,0.9251999855041504,0.2281942367553711
