,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
20,0.0,adapter.backbone.layer2.0.conv2,16.472554,0.9251999855041504,0.2281915992498397
80,1e-07,adapter.backbone.layer2.0.conv2,17.682399,0.9251999855041504,0.2281915992498397
140,2e-07,adapter.backbone.layer2.0.conv2,17.883612,0.9251999855041504,0.2281915992498397
200,3e-07,adapter.backbone.layer2.0.conv2,17.011778,0.9251999855041504,0.2281915992498397
260,4e-07,adapter.backbone.layer2.0.conv2,19.241916,0.9251999855041504,0.2281915992498397
320,5e-07,adapter.backbone.layer2.0.conv2,16.782691,0.9251999855041504,0.2281915992498397
380,6e-07,adapter.backbone.layer2.0.conv2,16.680886,0.9251999855041504,0.2281915992498397
440,7e-07,adapter.backbone.layer2.0.conv2,15.663566,0.9251999855041504,0.2281915992498397
500,8e-07,adapter.backbone.layer2.0.conv2,17.359803,0.9251999855041504,0.2281915992498397
560,9e-07,adapter.backbone.layer2.0.conv2,18.010462,0.9251999855041504,0.2281915992498397
620,1e-06,adapter.backbone.layer2.0.conv2,16.22247,0.9251999855041504,0.2281917929649353
680,2e-06,adapter.backbone.layer2.0.conv2,17.205152,0.9251999855041504,0.2281915992498397
740,3e-06,adapter.backbone.layer2.0.conv2,16.818671,0.9251999855041504,0.2281915992498397
800,4e-06,adapter.backbone.layer2.0.conv2,17.467186,0.9251999855041504,0.2281915992498397
860,5e-06,adapter.backbone.layer2.0.conv2,17.624273,0.9251999855041504,0.2281915992498397
920,6e-06,adapter.backbone.layer2.0.conv2,16.905448,0.9251999855041504,0.2281892299652099
980,7e-06,adapter.backbone.layer2.0.conv2,16.543084,0.9251999855041504,0.2281915992498397
1040,8e-06,adapter.backbone.layer2.0.conv2,19.68746,0.9251999855041504,0.2281560599803924
1100,9e-06,adapter.backbone.layer2.0.conv2,18.166909,0.9251999855041504,0.2281914353370666
1160,1e-05,adapter.backbone.layer2.0.conv2,18.891247,0.9251999855041504,0.2281915992498397
1220,2e-05,adapter.backbone.layer2.0.conv2,19.807398,0.9251999855041504,0.2281915992498397
1280,3.0000000000000004e-05,adapter.backbone.layer2.0.conv2,17.600911,0.9251999855041504,0.2281927913427353
1340,4e-05,adapter.backbone.layer2.0.conv2,18.495554,0.925100028514862,0.2281891107559204
1400,5e-05,adapter.backbone.layer2.0.conv2,16.795605,0.9251999855041504,0.2281915992498397
1460,6.000000000000001e-05,adapter.backbone.layer2.0.conv2,19.278393,0.9253000020980836,0.2282425016164779
1520,7.000000000000001e-05,adapter.backbone.layer2.0.conv2,17.949136,0.9251999855041504,0.2281915992498397
1580,8e-05,adapter.backbone.layer2.0.conv2,18.629739,0.9251999855041504,0.2281916290521621
