,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
31,0.0,adapter.backbone.layer3.0.conv1,17.099738,0.9251999855041504,0.2281915992498397
91,1e-07,adapter.backbone.layer3.0.conv1,17.752885,0.9251999855041504,0.2281915992498397
151,2e-07,adapter.backbone.layer3.0.conv1,17.58357,0.9251999855041504,0.2281915992498397
211,3e-07,adapter.backbone.layer3.0.conv1,17.803817,0.9251999855041504,0.2281915992498397
271,4e-07,adapter.backbone.layer3.0.conv1,16.263767,0.9251999855041504,0.2281915992498397
331,5e-07,adapter.backbone.layer3.0.conv1,16.681388,0.9251999855041504,0.2281915992498397
391,6e-07,adapter.backbone.layer3.0.conv1,19.531746,0.9251999855041504,0.2281915992498397
451,7e-07,adapter.backbone.layer3.0.conv1,15.386769,0.9251999855041504,0.2281915992498397
511,8e-07,adapter.backbone.layer3.0.conv1,18.759021,0.9251999855041504,0.2281915992498397
571,9e-07,adapter.backbone.layer3.0.conv1,17.214844,0.9251999855041504,0.2281915992498397
631,1e-06,adapter.backbone.layer3.0.conv1,17.406178,0.9251999855041504,0.2281915992498397
691,2e-06,adapter.backbone.layer3.0.conv1,15.976077,0.9251999855041504,0.2281915992498397
751,3e-06,adapter.backbone.layer3.0.conv1,17.672261,0.9251999855041504,0.2281915992498397
811,4e-06,adapter.backbone.layer3.0.conv1,17.558608,0.9251999855041504,0.2281915992498397
871,5e-06,adapter.backbone.layer3.0.conv1,19.052809,0.9251999855041504,0.2281915992498397
931,6e-06,adapter.backbone.layer3.0.conv1,19.186879,0.9251999855041504,0.2281915992498397
991,7e-06,adapter.backbone.layer3.0.conv1,18.922243,0.925100028514862,0.2281718999147415
1051,8e-06,adapter.backbone.layer3.0.conv1,19.754439,0.9251999855041504,0.2281915992498397
1111,9e-06,adapter.backbone.layer3.0.conv1,18.515739,0.9251999855041504,0.2281915992498397
1171,1e-05,adapter.backbone.layer3.0.conv1,17.73759,0.9251999855041504,0.2281917035579681
1231,2e-05,adapter.backbone.layer3.0.conv1,17.49328,0.9251999855041504,0.2281915992498397
1291,3.0000000000000004e-05,adapter.backbone.layer3.0.conv1,19.79488,0.9251999855041504,0.2281915992498397
1351,4e-05,adapter.backbone.layer3.0.conv1,17.022688,0.9251999855041504,0.2281915992498397
1411,5e-05,adapter.backbone.layer3.0.conv1,19.78897,0.925100028514862,0.2281906306743621
1471,6.000000000000001e-05,adapter.backbone.layer3.0.conv1,18.470629,0.9251999855041504,0.2281915992498397
1531,7.000000000000001e-05,adapter.backbone.layer3.0.conv1,20.542919,0.9251999855041504,0.2281912863254547
1591,8e-05,adapter.backbone.layer3.0.conv1,15.73873,0.9251999855041504,0.22819185256958
1651,9e-05,adapter.backbone.layer3.0.conv1,17.711656,0.925100028514862,0.228288397192955
1711,0.0001,adapter.backbone.layer3.0.conv1,18.945372,0.9251999855041504,0.2281947582960128
1771,0.0002,adapter.backbone.layer3.0.conv1,16.123661,0.9248999953269958,0.2282903790473938
1831,0.0003,adapter.backbone.layer3.0.conv1,17.162813,0.9236000180244446,291431415545856.0
1891,0.0004,adapter.backbone.layer3.0.conv1,15.567123,0.925100028514862,0.2281253188848495
1951,0.0005,adapter.backbone.layer3.0.conv1,16.570229,0.9251999855041504,0.2281917780637741
