,randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
8,0.0,adapter.backbone.layer1.0.conv2,15.631244,0.9251999855041504,0.2281915992498397
68,1e-07,adapter.backbone.layer1.0.conv2,17.095955,0.9251999855041504,0.2281915992498397
128,2e-07,adapter.backbone.layer1.0.conv2,18.219131,0.9251999855041504,0.2281915992498397
188,3e-07,adapter.backbone.layer1.0.conv2,17.425219,0.9251999855041504,0.2281915992498397
248,4e-07,adapter.backbone.layer1.0.conv2,18.005822,0.9251999855041504,0.2281915992498397
308,5e-07,adapter.backbone.layer1.0.conv2,17.433708,0.9251999855041504,0.2281915992498397
368,6e-07,adapter.backbone.layer1.0.conv2,17.705816,0.9251999855041504,0.2281915992498397
428,7e-07,adapter.backbone.layer1.0.conv2,17.454013,0.9251999855041504,0.2281915992498397
488,8e-07,adapter.backbone.layer1.0.conv2,17.395583,0.9251999855041504,0.2281915992498397
548,9e-07,adapter.backbone.layer1.0.conv2,18.438649,0.9251999855041504,0.2281915992498397
608,1e-06,adapter.backbone.layer1.0.conv2,17.387186,0.9251999855041504,0.2281915992498397
668,2e-06,adapter.backbone.layer1.0.conv2,16.86648,0.9251999855041504,0.2281915992498397
728,3e-06,adapter.backbone.layer1.0.conv2,18.077792,0.9251999855041504,0.2281915992498397
788,4e-06,adapter.backbone.layer1.0.conv2,18.549602,0.925100028514862,0.2281737327575683
848,5e-06,adapter.backbone.layer1.0.conv2,16.402829,0.9251999855041504,0.2281915992498397
908,6e-06,adapter.backbone.layer1.0.conv2,17.847876,0.9251999855041504,0.2281915992498397
968,7e-06,adapter.backbone.layer1.0.conv2,18.985777,0.9251999855041504,0.2281916290521621
1028,8e-06,adapter.backbone.layer1.0.conv2,18.672166,0.9251999855041504,0.2281915992498397
1088,9e-06,adapter.backbone.layer1.0.conv2,17.715382,0.925100028514862,0.2282228320837021
1148,1e-05,adapter.backbone.layer1.0.conv2,18.371135,0.9253000020980836,0.2281758338212967
1208,2e-05,adapter.backbone.layer1.0.conv2,16.604519,0.9251999855041504,0.2281912863254547
