randomness,layer_name,execution_time,test_accuracy,test_cross_entropy
0.009000000000000001,adapter.backbone.layer1.1.conv1,16.565145,0.8999999761581421,0.3715187907218933
0.009000000000000001,adapter.backbone.layer1.1.bn1,12.504056,0.9253000020980835,0.22824035584926605
0.009000000000000001,adapter.backbone.layer1.1.relu,14.441976,0.925000011920929,0.2302425503730774
0.009000000000000001,adapter.backbone.layer1.1.conv2,15.92366,0.9251999855041504,0.22819162905216217
0.009000000000000001,adapter.backbone.layer1.1.bn2,16.362221,0.8992999792098999,0.8164599537849426
0.009000000000000001,adapter.backbone.layer1.1.relu,18.964719,0.921999990940094,0.23963546752929688
0.009000000000000001,adapter.backbone.layer2.0.conv1,11.524109,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer2.0.bn1,12.540702,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer2.0.relu,12.758018,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer2.0.conv2,12.604362,0.9251999855041504,0.22819162905216217
0.009000000000000001,adapter.backbone.layer2.0.bn2,11.445698,0.8992999792098999,nan
0.009000000000000001,adapter.backbone.layer2.0.downsample.0,13.020148,0.8992999792098999,nan
0.009000000000000001,adapter.backbone.layer2.0.downsample.1,11.432393,0.9251000285148621,0.22819414734840393
0.009000000000000001,adapter.backbone.layer2.0.relu,16.474071,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer2.1.conv1,11.875176,0.9243000149726868,0.23192046582698822
0.009000000000000001,adapter.backbone.layer2.1.bn1,13.046688,0.9088000059127808,0.3136298656463623
0.009000000000000001,adapter.backbone.layer2.1.relu,10.951039,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer2.1.conv2,11.294452,0.9251999855041504,0.22819162905216217
0.009000000000000001,adapter.backbone.layer2.1.bn2,10.876028,0.90420001745224,0.4204569458961487
0.009000000000000001,adapter.backbone.layer2.1.relu,14.163969,0.8378000259399414,nan
0.009000000000000001,adapter.backbone.layer3.0.conv1,10.47134,0.9247999787330627,0.22879841923713684
0.009000000000000001,adapter.backbone.layer3.0.bn1,10.297846,0.9052000045776367,0.31658995151519775
0.009000000000000001,adapter.backbone.layer3.0.relu,10.17269,0.9251999855041504,0.22819416224956512
0.009000000000000001,adapter.backbone.layer3.0.conv2,9.873719,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer3.0.bn2,10.831564,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer3.0.downsample.0,9.552935,0.9244999885559082,0.22988452017307281
0.009000000000000001,adapter.backbone.layer3.0.downsample.1,10.215562,0.9251000285148621,0.22820019721984863
0.009000000000000001,adapter.backbone.layer3.0.relu,11.543762,0.9251999855041504,0.22818440198898315
0.009000000000000001,adapter.backbone.layer3.1.conv1,10.236808,0.8998000025749207,1.4686062995570688e+16
0.009000000000000001,adapter.backbone.layer3.1.bn1,10.5092,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer3.1.relu,9.768672,0.9251000285148621,0.22824789583683014
0.009000000000000001,adapter.backbone.layer3.1.conv2,10.250572,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer3.1.bn2,10.439166,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer3.1.relu,11.1675,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer4.0.conv1,9.620355,0.9251999855041504,0.2281912863254547
0.009000000000000001,adapter.backbone.layer4.0.bn1,9.560379,0.9244999885559082,0.22898341715335846
0.009000000000000001,adapter.backbone.layer4.0.relu,9.276065,0.9247000217437744,0.22894543409347534
0.009000000000000001,adapter.backbone.layer4.0.conv2,9.160837,0.9251999855041504,0.22819185256958008
0.009000000000000001,adapter.backbone.layer4.0.bn2,9.596944,0.9251999855041504,0.22819164395332336
0.009000000000000001,adapter.backbone.layer4.0.downsample.0,8.898209,0.9251000285148621,0.22846518456935883
0.009000000000000001,adapter.backbone.layer4.0.downsample.1,9.905821,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer4.0.relu,9.456031,0.8425999879837036,nan
0.009000000000000001,adapter.backbone.layer4.1.conv1,9.090543,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer4.1.bn1,9.91036,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer4.1.relu,10.607135,0.9254000186920166,0.228406623005867
0.009000000000000001,adapter.backbone.layer4.1.conv2,9.230499,0.9150000214576721,0.27404922246932983
0.009000000000000001,adapter.backbone.layer4.1.bn2,9.44637,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.backbone.layer4.1.relu,10.425936,0.8334000110626221,nan
0.009000000000000001,adapter.backbone.avgpool,8.641188,0.9251999855041504,0.22819159924983978
0.009000000000000001,adapter.head.0,8.18222,0.925000011920929,0.2290884256362915
0.01,adapter.backbone.conv1,51.57318,0.9251000285148621,0.22821247577667236
0.01,adapter.backbone.bn1,37.274646,0.9251999855041504,0.22819167375564575
0.01,adapter.backbone.relu,33.485894,0.9251999855041504,0.2282208502292633
0.01,adapter.backbone.maxpool,12.520818,0.9251999855041504,0.22819167375564575
0.01,adapter.backbone.layer1.0.conv1,16.182305,0.9251999855041504,0.2281915843486786
0.01,adapter.backbone.layer1.0.bn1,15.025082,0.9251999855041504,0.2281915247440338
0.01,adapter.backbone.layer1.0.relu,21.519186,0.9232000112533569,0.23697778582572937
0.01,adapter.backbone.layer1.0.conv2,13.463856,0.9251999855041504,0.22819162905216217
0.01,adapter.backbone.layer1.0.bn2,14.447201,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer1.0.relu,20.224642,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer1.1.conv1,16.25045,0.899399995803833,94.31819915771484
0.01,adapter.backbone.layer1.1.bn1,18.349259,0.9068999886512756,0.2896813452243805
0.01,adapter.backbone.layer1.1.relu,21.772124,0.9251999855041504,0.22819162905216217
0.01,adapter.backbone.layer1.1.conv2,13.348443,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer1.1.bn2,17.244842,0.8988999724388123,146.23480224609375
0.01,adapter.backbone.layer1.1.relu,23.752189,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer2.0.conv1,11.229776,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer2.0.bn1,11.953416,0.9013000130653381,0.3424628973007202
0.01,adapter.backbone.layer2.0.relu,13.961259,0.9251999855041504,0.22819136083126068
0.01,adapter.backbone.layer2.0.conv2,10.938514,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer2.0.bn2,12.144437,0.9180999994277954,0.2496548295021057
0.01,adapter.backbone.layer2.0.downsample.0,12.018074,0.9251999855041504,0.2281910926103592
0.01,adapter.backbone.layer2.0.downsample.1,11.904435,0.9059000015258789,4273565.0
0.01,adapter.backbone.layer2.0.relu,13.540074,0.9251999855041504,0.2281605750322342
0.01,adapter.backbone.layer2.1.conv1,11.287237,0.8989999890327454,0.9801238179206848
0.01,adapter.backbone.layer2.1.bn1,11.265807,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer2.1.relu,10.422684,0.9251999855041504,0.22818425297737122
0.01,adapter.backbone.layer2.1.conv2,11.380529,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer2.1.bn2,11.294946,0.9251999855041504,0.2281915247440338
0.01,adapter.backbone.layer2.1.relu,13.13133,0.9251000285148621,0.22819533944129944
0.01,adapter.backbone.layer3.0.conv1,10.68074,0.9190999865531921,0.24668073654174805
0.01,adapter.backbone.layer3.0.bn1,10.001257,0.9251999855041504,0.22818996012210846
0.01,adapter.backbone.layer3.0.relu,9.501805,0.9251999855041504,0.22819162905216217
0.01,adapter.backbone.layer3.0.conv2,9.368748,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer3.0.bn2,9.765472,0.8992999792098999,0.829054594039917
0.01,adapter.backbone.layer3.0.downsample.0,9.61654,0.9253000020980835,0.22842319309711456
0.01,adapter.backbone.layer3.0.downsample.1,10.086293,0.9207000136375427,0.2444065362215042
0.01,adapter.backbone.layer3.0.relu,10.398051,0.9251999855041504,0.22821438312530518
0.01,adapter.backbone.layer3.1.conv1,11.136541,0.899399995803833,2.6568695610343424e+16
0.01,adapter.backbone.layer3.1.bn1,9.723469,0.9179999828338623,1920474.875
0.01,adapter.backbone.layer3.1.relu,10.519748,0.9251999855041504,0.22818949818611145
0.01,adapter.backbone.layer3.1.conv2,10.908044,0.9251999855041504,0.22818604111671448
0.01,adapter.backbone.layer3.1.bn2,10.197737,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer3.1.relu,11.507433,0.8241999745368958,1.078946590423584
0.01,adapter.backbone.layer4.0.conv1,8.96164,0.9032999873161316,3416121.5
0.01,adapter.backbone.layer4.0.bn1,10.11653,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer4.0.relu,9.839511,0.8349000215530396,0.8300129175186157
0.01,adapter.backbone.layer4.0.conv2,9.569524,0.9251999855041504,0.22819198668003082
0.01,adapter.backbone.layer4.0.bn2,9.281042,0.9248999953269958,0.22861161828041077
0.01,adapter.backbone.layer4.0.downsample.0,8.932187,0.9253000020980835,0.22839397192001343
0.01,adapter.backbone.layer4.0.downsample.1,9.432176,0.9251000285148621,0.22818322479724884
0.01,adapter.backbone.layer4.0.relu,10.666722,0.9251999855041504,0.2281915843486786
0.01,adapter.backbone.layer4.1.conv1,9.954661,0.9050999879837036,0.33956050872802734
0.01,adapter.backbone.layer4.1.bn1,9.316445,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.layer4.1.relu,10.360699,0.9251999855041504,0.22819162905216217
0.01,adapter.backbone.layer4.1.conv2,10.035111,0.9079999923706055,35877300469760.0
0.01,adapter.backbone.layer4.1.bn2,8.948484,0.925000011920929,0.2295931577682495
0.01,adapter.backbone.layer4.1.relu,9.742758,0.9251999855041504,0.22819159924983978
0.01,adapter.backbone.avgpool,8.271156,0.9251999855041504,0.22819523513317108
0.01,adapter.head.0,8.522076,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.conv1,39.786712,0.8988000154495239,44769836.0
0.02,adapter.backbone.bn1,41.28278,0.9221000075340271,0.2377929985523224
0.02,adapter.backbone.relu,23.965673,0.9251999855041504,0.22819338738918304
0.02,adapter.backbone.maxpool,15.476406,0.9254999756813049,0.22838059067726135
0.02,adapter.backbone.layer1.0.conv1,14.583584,0.9247000217437744,0.22935043275356293
0.02,adapter.backbone.layer1.0.bn1,14.775349,0.8992999792098999,nan
0.02,adapter.backbone.layer1.0.relu,25.931022,0.8475000262260437,nan
0.02,adapter.backbone.layer1.0.conv2,15.75121,0.9251999855041504,0.22819162905216217
0.02,adapter.backbone.layer1.0.bn2,14.55897,0.9251999855041504,0.22819162905216217
0.02,adapter.backbone.layer1.0.relu,20.03539,0.9251999855041504,0.2281915843486786
0.02,adapter.backbone.layer1.1.conv1,14.973717,0.8995000123977661,2.217522753437696e+16
0.02,adapter.backbone.layer1.1.bn1,12.639647,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer1.1.relu,18.752486,0.9251999855041504,0.22819162905216217
0.02,adapter.backbone.layer1.1.conv2,15.728729,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer1.1.bn2,16.719975,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer1.1.relu,21.535704,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer2.0.conv1,11.190399,0.9251999855041504,0.22818130254745483
0.02,adapter.backbone.layer2.0.bn1,11.714121,0.9251999855041504,0.2282937467098236
0.02,adapter.backbone.layer2.0.relu,14.051132,0.8705999851226807,7972586193420288.0
0.02,adapter.backbone.layer2.0.conv2,10.948209,0.9251999855041504,0.22819137573242188
0.02,adapter.backbone.layer2.0.bn2,10.401496,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer2.0.downsample.0,11.152856,0.9251999855041504,0.2281932383775711
0.02,adapter.backbone.layer2.0.downsample.1,10.81931,0.9251999855041504,0.2281915843486786
0.02,adapter.backbone.layer2.0.relu,10.644677,0.9247999787330627,0.22995412349700928
0.02,adapter.backbone.layer2.1.conv1,12.121516,0.8992999792098999,255.42477416992188
0.02,adapter.backbone.layer2.1.bn1,11.76349,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer2.1.relu,10.338785,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer2.1.conv2,10.989971,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer2.1.bn2,11.588258,0.9251000285148621,0.22833335399627686
0.02,adapter.backbone.layer2.1.relu,12.150668,0.9251999855041504,0.22818830609321594
0.02,adapter.backbone.layer3.0.conv1,9.900469,0.9251999855041504,0.22819508612155914
0.02,adapter.backbone.layer3.0.bn1,10.138543,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.0.relu,10.420369,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.0.conv2,10.082025,0.9247000217437744,0.22910578548908234
0.02,adapter.backbone.layer3.0.bn2,10.263506,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.0.downsample.0,10.091308,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.0.downsample.1,10.600978,0.9161999821662903,0.2549218535423279
0.02,adapter.backbone.layer3.0.relu,11.678755,0.8659999966621399,0.5844232439994812
0.02,adapter.backbone.layer3.1.conv1,10.113143,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.1.bn1,10.504716,0.9251000285148621,0.2283068597316742
0.02,adapter.backbone.layer3.1.relu,10.953269,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer3.1.conv2,10.082849,0.9070000052452087,38443916722176.0
0.02,adapter.backbone.layer3.1.bn2,10.749702,0.9031000137329102,101.23591613769531
0.02,adapter.backbone.layer3.1.relu,10.800385,0.9251999855041504,0.22819015383720398
0.02,adapter.backbone.layer4.0.conv1,10.089607,0.9251999855041504,0.2281792014837265
0.02,adapter.backbone.layer4.0.bn1,8.927308,0.9251999855041504,0.22820919752120972
0.02,adapter.backbone.layer4.0.relu,9.662005,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer4.0.conv2,9.710807,0.9241999983787537,0.22938098013401031
0.02,adapter.backbone.layer4.0.bn2,8.836087,0.9251999855041504,0.22819159924983978
0.02,adapter.backbone.layer4.0.downsample.0,8.962939,0.8992999792098999,nan
0.02,adapter.backbone.layer4.0.downsample.1,9.577709,0.9251999855041504,0.22819143533706665
0.02,adapter.backbone.layer4.0.relu,9.488905,0.9251999855041504,0.22842052578926086
0.02,adapter.backbone.layer4.1.conv1,8.860204,0.9251999855041504,0.22819164395332336
0.02,adapter.backbone.layer4.1.bn1,9.166633,0.9251999855041504,0.2281915545463562
0.02,adapter.backbone.layer4.1.relu,9.214403,0.9085999727249146,160383.75
0.02,adapter.backbone.layer4.1.conv2,10.017729,0.9050999879837036,0.46889954805374146
0.02,adapter.backbone.layer4.1.bn2,9.473583,0.9251999855041504,0.22819159924983978
