,randomness,layer_name,execution_time,test_acc,test_acc_epoch,test_loss,test_loss_epoch
0,0.0,-,72.051908,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
3,1e-07,sequential.2,56.55672,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
5,2e-07,sequential.2,67.976893,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
7,3e-07,sequential.2,68.700172,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
9,4e-07,sequential.2,63.845025,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
11,5e-07,sequential.2,64.603294,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
13,6e-07,sequential.2,71.508264,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
15,7e-07,sequential.2,61.794665,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
17,8e-07,sequential.2,59.986843,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
19,9e-07,sequential.2,70.465627,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
21,1e-06,sequential.2,61.309976,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
23,2e-06,sequential.2,64.798536,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
25,3e-06,sequential.2,67.61009,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
27,4e-06,sequential.2,67.12254,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
29,5e-06,sequential.2,62.214164,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
31,6e-06,sequential.2,61.123952,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
33,7e-06,sequential.2,89.049074,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
35,8e-06,sequential.2,87.305107,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
37,9e-06,sequential.2,92.622222,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
39,1e-05,sequential.2,89.882893,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
41,2e-05,sequential.2,60.991839,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
43,3.0000000000000004e-05,sequential.2,88.193409,0.5833333134651184,0.5833333134651184,1.3647876977920532,1.3647876977920532
45,4e-05,sequential.2,117.170792,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
47,5e-05,sequential.2,54.974318,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
49,6.000000000000001e-05,sequential.2,78.138549,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
51,7.000000000000001e-05,sequential.2,97.30547,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
53,8e-05,sequential.2,69.360613,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
55,9e-05,sequential.2,92.443953,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
57,0.0001,sequential.2,38.782258,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
59,0.0002,sequential.2,38.265489,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
61,0.0003,sequential.2,38.238528,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
63,0.0004,sequential.2,37.280145,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
65,0.0005,sequential.2,33.567227,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
67,0.0006,sequential.2,37.577747,0.5833333134651184,0.5833333134651184,1.3647445440292358,1.3647445440292358
69,0.0007,sequential.2,38.49751,0.5833333134651184,0.5833333134651184,1.36491858959198,1.36491858959198
71,0.0008,sequential.2,37.961903,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
73,0.0009,sequential.2,37.237669,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
75,0.001,sequential.2,32.918135,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
77,0.002,sequential.2,37.863463,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
79,0.003,sequential.2,37.187992,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
81,0.004,sequential.2,32.670584,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
83,0.005,sequential.2,37.270755,0.5833333134651184,0.5833333134651184,1.3649269342422483,1.3649269342422483
85,0.006,sequential.2,36.119897,0.5833333134651184,0.5833333134651184,1.3649309873580933,1.3649309873580933
88,0.007,sequential.6,36.994146,0.5795454382896423,0.5795454382896423,1.513101577758789,1.513101577758789
89,0.008,sequential.2,36.960855,0.5833333134651184,0.5833333134651184,1.368428111076355,1.368428111076355
91,0.009,sequential.2,32.723422,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
93,0.01,sequential.2,37.733938,0.5833333134651184,0.5833333134651184,1.3649311065673828,1.3649311065673828
95,0.02,sequential.2,38.130928,0.5833333134651184,0.5833333134651184,1.3650312423706057,1.3650312423706057
97,0.03,sequential.2,36.417005,0.5833333134651184,0.5833333134651184,1.364892840385437,1.364892840385437
99,0.04,sequential.2,37.925326,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
101,0.05,sequential.2,32.827463,0.5871211886405945,0.5871211886405945,1.3967981338500977,1.3967981338500977
103,0.06,sequential.2,36.824337,0.5833333134651184,0.5833333134651184,1.3665528297424316,1.3665528297424316
105,0.07,sequential.2,38.703014,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
107,0.08,sequential.2,39.176517,0.5795454382896423,0.5795454382896423,1.3685269355773926,1.3685269355773926
109,0.09,sequential.2,39.586913,0.5833333134651184,0.5833333134651184,1.3672094345092771,1.3672094345092771
111,0.1,sequential.2,40.415076,0.5833333134651184,0.5833333134651184,1.3650254011154177,1.3650254011154177
113,0.2,sequential.2,40.026549,0.5833333134651184,0.5833333134651184,1.364898920059204,1.364898920059204
116,0.3,sequential.6,39.918426,0.5833333134651184,0.5833333134651184,1.3648850917816162,1.3648850917816162
118,0.4,sequential.6,35.671827,0.5833333134651184,0.5833333134651184,1.3647329807281494,1.3647329807281494
120,0.5,sequential.6,40.929897,0.5719696879386902,0.5719696879386902,1.4029277563095093,1.4029277563095093
121,0.6000000000000001,sequential.2,41.798699,0.5833333134651184,0.5833333134651184,1.3661856651306152,1.3661856651306152
124,0.7000000000000001,sequential.6,32.917758,0.1931818127632141,0.1931818127632141,2.2899281978607178,2.2899281978607178
125,0.8,sequential.2,37.453848,0.5833333134651184,0.5833333134651184,1.3649107217788696,1.3649107217788696
127,0.9,sequential.2,37.600906,0.5795454382896423,0.5795454382896423,1.4824131727218628,1.4824131727218628
130,1.0,sequential.6,34.290327,0.5833333134651184,0.5833333134651184,1.3649044036865234,1.3649044036865234
